[SPRITES]
#id	left	top	width	height	frameTime	texture_id
spr-goomba-idle-0	9	11	16	16	100	tex-enemy
spr-goomba-walk-0	9	11	16	16	100	tex-enemy
spr-goomba-walk-1	32	11	16	16	100	tex-enemy
spr-goomba-die-0	54	18	16	9	100	tex-enemy
spr-red-goomba-idle-0	104	70	16	16	100	tex-enemy
spr-red-goomba-idle-1	125	70	16	16	100	tex-enemy
spr-red-goomba-walk-0	104	70	16	16	100	tex-enemy
spr-red-goomba-walk-1	125	70	16	16	100	tex-enemy
spr-red-goomba-die-0	145	77	16	9	100	tex-enemy
spr-tan-para-goomba-idle-0	125	11	20	19	100	tex-enemy
spr-tan-para-goomba-idle-1	149	11	20	19	100	tex-enemy
spr-tan-para-goomba-flap-0	75	6	20	24	100	tex-enemy
spr-tan-para-goomba-flap-1	99	6	20	24	100	tex-enemy
spr-tiny-goomba-fall-0	174	21	8	9	100	tex-enemy
spr-red-para-goomba-idle-0	116	35	20	24	100	tex-enemy
spr-red-para-goomba-idle-1	140	35	20	24	100	tex-enemy
spr-red-para-goomba-flap-0	66	35	20	24	100	tex-enemy
spr-red-para-goomba-flap-1	90	35	20	24	100	tex-enemy
spr-red-venus-fire-trap-headdown-0	7	33	16	32	100	tex-enemy
spr-red-venus-fire-trap-headup-0	7	71	16	32	100	tex-enemy
spr-green-venus-fire-trap-headdown-0	6	166	16	24	100	tex-enemy
spr-green-venus-fire-trap-headup-0	6	195	16	24	100	tex-enemy
spr-red-piranha-plant-attack-0	171	35	16	32	100	tex-enemy
spr-red-piranha-plant-attack-1	171	72	16	31	100	tex-enemy
spr-green-piranha-plant-attack-0	7	108	16	23	100	tex-enemy
spr-green-piranha-plant-attack-1	7	137	16	24	100	tex-enemy
spr-red-koopa-troopa-move-0	28	67	16	26	100	tex-enemy
spr-red-koopa-troopa-move-1	47	66	16	27	100	tex-enemy
spr-red-koopa-troopa-with-draw-0	71	75	18	16	100	tex-enemy
spr-red-koopa-troopa-shell-run-0	29	97	16	16	100	tex-enemy
spr-red-koopa-troopa-shell-run-1	50	96	16	16	100	tex-enemy
spr-red-koopa-troopa-shell-run-2	71	96	16	16	100	tex-enemy
spr-green-koopa-troopa-move-0	31	119	16	26	100	tex-enemy
spr-green-koopa-troopa-move-1	50	118	16	27	100	tex-enemy
spr-green-koopa-troopa-with-draw-0	74	127	18	16	100	tex-enemy
spr-green-koopa-troopa-shell-run-0	32	149	16	16	100	tex-enemy
spr-green-koopa-troopa-shell-run-1	53	148	16	16	100	tex-enemy
spr-green-koopa-troopa-shell-run-2	74	148	16	16	100	tex-enemy
spr-green-koopa-paratroopa-fly-0	105	129	16	27	100	tex-enemy
spr-green-koopa-paratroopa-fly-1	126	130	16	26	100	tex-enemy
spr-green-koopa-paratroopa-fly-2	147	129	16	27	100	tex-enemy
spr-red-koopa-paratroopa-fly-0	105	93	16	27	100	tex-enemy
spr-red-koopa-paratroopa-fly-1	126	94	16	26	100	tex-enemy
spr-red-koopa-paratroopa-fly-2	147	93	16	27	100	tex-enemy
spr-boomerang-brother-move-0	33	171	16	24	100	tex-enemy
spr-boomerang-brother-move-1	57	171	16	24	100	tex-enemy
spr-boomerang-brother-attack-0	80	171	16	24	100	tex-enemy
spr-boomerang-brother-attack-1	103	171	16	24	100	tex-enemy
spr-hammer-brother-move-0	175	112	16	24	100	tex-enemy
spr-hammer-brother-move-1	178	143	16	24	100	tex-enemy
spr-hammer-brother-attack-0	179	173	16	24	100	tex-enemy
spr-hammer-brother-attack-1	179	202	16	24	100	tex-enemy
spr-boomerang-spin-0	124	166	15	16	100	tex-enemy
spr-boomerang-spin-1	144	166	16	15	100	tex-enemy
spr-boomerang-spin-2	145	186	16	15	100	tex-enemy
spr-boomerang-spin-3	124	188	15	16	100	tex-enemy
spr-hammer-0	203	121	14	16	100	tex-enemy
spr-hammer-1	229	121	16	14	100	tex-enemy
spr-hammer-2	229	149	14	16	100	tex-enemy
spr-hammer-3	228	177	16	14	100	tex-enemy
spr-hammer-4	226	199	14	16	100	tex-enemy
spr-hammer-5	203	199	16	14	100	tex-enemy
spr-hammer-6	205	171	14	16	100	tex-enemy
spr-hammer-7	206	146	16	14	100	tex-enemy
