[SPRITES]
#id	left	top	width	height	frameTime	texture-id	xPivot
spr-small-mario-map-0	220	8	14	16	50	tex-mario	
spr-small-mario-map-1	237	8	14	16	50	tex-mario	
spr-small-mario-walk-0	254	9	12	15	50	tex-mario	
spr-small-mario-walk-1	269	8	15	16	50	tex-mario	
spr-small-mario-skid-0	287	8	14	16	50	tex-mario	
spr-small-mario-jump-0	304	8	16	16	50	tex-mario	
spr-small-mario-run-0	323	8	16	16	50	tex-mario	
spr-small-mario-run-1	341	8	16	16	50	tex-mario	
spr-small-mario-high-jump-0	360	8	16	16	50	tex-mario	
spr-small-mario-slide-0	379	8	15	16	50	tex-mario	
spr-small-mario-die-0	416	8	16	16	50	tex-mario	
spr-small-mario-hold-0	435	8	14	16	50	tex-mario	
spr-small-mario-hold-1	452	8	15	16	50	tex-mario	
spr-small-mario-kick-0	470	8	16	16	50	tex-mario	
spr-small-mario-dive-0	489	8	16	16	50	tex-mario	
spr-small-mario-dive-1	508	9	16	15	50	tex-mario	
spr-small-mario-swim-0	527	9	14	15	50	tex-mario	
spr-small-mario-swim-1	544	8	14	16	50	tex-mario	
spr-small-mario-idle-front-0	397	8	16	16	50	tex-mario	
spr-small-mario-idle-0	254	9	12	15	50	tex-mario	
spr-small-mario-climb-0	561	9	14	15	50	tex-mario	
spr-small-mario-climb-1	578	9	14	15	50	tex-mario	
spr-big-mario-map-0	159	54	16	21	50	tex-mario	
spr-big-mario-map-1	178	54	16	21	50	tex-mario	
spr-big-mario-walk-0	197	48	14	27	50	tex-mario	
spr-big-mario-walk-1	214	48	16	27	50	tex-mario	
spr-big-mario-walk-2	233	49	16	26	50	tex-mario	
spr-big-mario-skid-0	252	47	16	28	50	tex-mario	
spr-big-mario-jump-0	271	49	16	26	50	tex-mario	
spr-big-mario-fall-0	233	49	16	26	50	tex-mario	
spr-big-mario-run-0	290	48	19	27	50	tex-mario	
spr-big-mario-run-1	312	48	19	27	50	tex-mario	
spr-big-mario-run-2	335	49	19	26	50	tex-mario	
spr-big-mario-high-jump-0	357	49	19	26	50	tex-mario	
spr-big-mario-crouch-0	379	57	14	18	50	tex-mario	
spr-big-mario-slide-0	396	49	16	26	50	tex-mario	
spr-big-mario-hold-0	434	48	14	27	50	tex-mario	
spr-big-mario-hold-1	451	48	15	27	50	tex-mario	
spr-big-mario-hold-2	469	49	16	26	50	tex-mario	
spr-big-mario-kick-0	488	48	21	27	50	tex-mario	
spr-big-mario-dive-0	512	48	19	27	50	tex-mario	
spr-big-mario-dive-1	534	49	19	26	50	tex-mario	
spr-big-mario-swim-0	556	48	19	27	50	tex-mario	
spr-big-mario-swim-1	578	48	18	27	50	tex-mario	
spr-big-mario-swim-2	599	49	19	26	50	tex-mario	
spr-big-mario-idle-0	197	48	14	27	50	tex-mario	
spr-big-mario-idle-front-0	415	48	16	27	50	tex-mario	
spr-big-mario-climb-0	621	50	16	25	50	tex-mario	
spr-big-mario-climb-1	640	50	16	25	50	tex-mario	
spr-big-mario-roll-0	320	317	22	20	50	tex-mario	
spr-big-mario-roll-1	345	317	19	20	50	tex-mario	
spr-big-mario-roll-2	367	315	20	22	50	tex-mario	
spr-big-mario-roll-3	390	318	20	19	50	tex-mario	
spr-big-mario-roll-4	413	317	22	20	50	tex-mario	
spr-big-mario-roll-5	438	317	19	20	50	tex-mario	
spr-big-mario-roll-6	460	315	20	22	50	tex-mario	
spr-big-mario-roll-7	483	318	20	19	50	tex-mario	
spr-raccoon-mario-map-0	4	146	16	24	50	tex-mario	
spr-raccoon-mario-map-1	23	146	16	24	50	tex-mario	
spr-raccoon-mario-walk-0	80	142	21	28	50	tex-mario	14
spr-raccoon-mario-walk-1	104	142	22	28	50	tex-mario	14
spr-raccoon-mario-walk-2	129	143	23	27	50	tex-mario	15
spr-raccoon-mario-skid-0	155	140	16	30	50	tex-mario	
spr-raccoon-mario-spin-0	80	142	21	28	50	tex-mario	14
spr-raccoon-mario-spin-1	78	107	23	28	50	tex-mario	14
spr-raccoon-mario-spin-2	174	142	16	28	50	tex-mario	7
spr-raccoon-mario-spin-3	193	142	23	28	50	tex-mario	7
spr-raccoon-mario-spin-4	219	142	16	28	50	tex-mario	7
spr-raccoon-mario-spin-5	80	142	21	28	50	tex-mario	14
spr-raccoon-mario-jump-0	257	143	23	27	50	tex-mario	15
spr-raccoon-mario-fall-0	283	143	23	27	50	tex-mario	15
spr-raccoon-mario-run-0	283	143	23	27	50	tex-mario	15
spr-raccoon-mario-run-1	309	143	23	27	50	tex-mario	15
spr-raccoon-mario-run-2	335	142	22	28	50	tex-mario	14
spr-raccoon-mario-speed-up-0	360	142	24	28	50	tex-mario	15
spr-raccoon-mario-speed-up-1	387	142	24	28	50	tex-mario	15
spr-raccoon-mario-speed-up-2	414	143	24	27	50	tex-mario	15
spr-raccoon-mario-fly-0	441	143	24	27	50	tex-mario	15
spr-raccoon-mario-fly-1	468	143	24	27	50	tex-mario	15
spr-raccoon-mario-fly-2	495	142	24	28	50	tex-mario	15
spr-raccoon-mario-crouch-0	522	152	22	18	50	tex-mario	15
spr-raccoon-mario-slide-0	547	143	16	27	50	tex-mario	
spr-raccoon-mario-hold-0	566	142	21	28	50	tex-mario	14
spr-raccoon-mario-hold-1	590	142	22	28	50	tex-mario	15
spr-raccoon-mario-hold-2	615	143	23	27	50	tex-mario	15
spr-raccoon-mario-kick-0	641	142	22	28	50	tex-mario	14
spr-raccoon-mario-dive-0	666	142	24	28	50	tex-mario	16
spr-raccoon-mario-dive-1	693	143	24	27	50	tex-mario	16
spr-raccoon-mario-swim-0	720	142	24	28	50	tex-mario	16
